Id,Start,Name,Impact,Currency
b9a83b7e-06c7-4ccc-aac7-f391fca89914,06/03/2020 07:55:00,Unemployment Change,HIGH,EUR
6a05c1e1-d621-488e-95ad-0f3204fef0be,06/03/2020 09:00:00,Unemployment Rate,HIGH,EUR
f272bbfc-84a9-4c5e-846e-25e160f898b1,06/03/2020 12:00:00,G7 Call on Coronavirus,HIGH,USD
40874929-78fb-4dec-b158-f9053477bbaf,06/03/2020 12:15:00,ADP Employment Change,HIGH,USD
d2d1dd96-11ba-457a-bc12-4134e1e5c336,06/03/2020 14:00:00,ISM Services PMI,HIGH,USD
bfc52eea-6c69-4c8a-8a5e-ee84d021b190,06/03/2020 14:00:00,ISM Services Employment Index,HIGH,USD
136b76fd-29d7-4b4c-8901-3209534504ea,06/04/2020 11:45:00,ECB Rate On Deposit Facility,HIGH,EUR
e37cc5e5-4c6d-4f68-8185-579b11bb0a1c,06/04/2020 11:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
38631928-db94-43f3-af6c-3719a872b4c9,06/04/2020 12:30:00,ECB Press Conference,HIGH,EUR
2793202f-7cdf-4d29-b2c5-15712e85e85b,06/04/2020 12:30:00,Initial Jobless Claims,HIGH,USD
8a5e602b-4fc9-484b-bb86-496094ba7ae4,06/05/2020 12:30:00,Nonfarm Payrolls,HIGH,USD
600ef7fe-6c3a-46e1-bef0-8728c6a57e3f,06/05/2020 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
fe41e50b-3bb8-4cff-957f-0d07e8a92233,06/05/2020 14:00:00,President Trump speech,HIGH,USD
6a890bb9-cf66-4eff-b2e2-984147330038,06/07/2020 23:50:00,Gross Domestic Product (QoQ),HIGH,JPY
dee7de2c-21ca-4c7d-94dd-fd184c82ead2,06/08/2020 10:00:00,OPEC Press Conference,HIGH,USD
48e93673-899d-47d8-85e5-7c69d6bd43de,06/08/2020 13:45:00,ECB's President Lagarde speech,HIGH,EUR
24a63d34-02be-4918-b3ac-a293add39cbc,06/08/2020 15:45:00,ECB's President Lagarde speech,HIGH,EUR
a20281d9-e2d5-4829-b425-709157154cd9,06/09/2020 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
5e802f6c-d078-4ab2-930d-ff8e7fb0c371,06/09/2020 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
7af7e184-63b3-4c02-8fc8-8171cd4ffd61,06/10/2020 01:30:00,Consumer Price Index (YoY),HIGH,CNY
40458d2e-3184-4134-9c0f-2314b195035e,06/10/2020 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
2e58750f-6052-4c98-afbb-7a2d7144ff9c,06/10/2020 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
3429e279-1895-4871-853f-011c7e378f28,06/10/2020 18:00:00,Interest Rate Projections - Longer,HIGH,USD
ca1414ef-f49d-4bfe-a184-0ba53467bceb,06/10/2020 18:00:00,FOMC Economic Projections,HIGH,USD
2ae2b206-d900-4def-8532-4588535a64ef,06/10/2020 18:00:00,Fed Monetary Policy Statement,HIGH,USD
740d5291-0370-48e6-b480-64eb25a85d16,06/10/2020 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
2ae2f012-5729-4229-9db4-c184cf19425a,06/10/2020 18:00:00,Interest Rate Projections - Current,HIGH,USD
e9a1ef42-0df8-4170-85a8-dd900cf9d5a0,06/10/2020 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
67f0c2d4-e0c0-44d8-aa0d-ec6c89fce5a1,06/10/2020 18:00:00,Fed Interest Rate Decision,HIGH,USD
ecdc6b6b-291d-43c0-8785-df298ff9a6f3,06/10/2020 18:30:00,FOMC Press Conference,HIGH,USD
71467750-c33a-40bb-ac24-5fa311063483,06/11/2020 12:30:00,Initial Jobless Claims,HIGH,USD
8f154e7b-fba1-48d2-bc47-008b46a4a620,06/12/2020 06:00:00,Gross Domestic Product (MoM),HIGH,GBP
6c3d8e7a-4017-4026-8f11-6cccfaf98ac2,06/12/2020 06:00:00,Industrial Production (MoM),HIGH,GBP
